"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cfg_file","dataset.dataset_name","dataset.num_samples","dataset.seq_len","dataset.task","device","draft_model.attn_implementation","draft_model.dtype","draft_model.model_name_or_path","target_model.attn_implementation","target_model.dtype","target_model.model_name_or_path","target_sparse_config.kernel_size","target_sparse_config.max_capacity_prompt","target_sparse_config.query_aggregation","target_sparse_config.sparse_type","target_sparse_config.window_size","draft_model.num_eval_tokens","target_sparse_config.num_vertical","target_sparse_config.pooling","target_sparse_config.prefill_window_size","draft_input_ratio","draft_nulls","draft_score","draft_score_all","perf/draft/compressed_input_size","perf/draft/compressed_input_size_mean","perf/draft/full_input_size","perf/draft/full_input_size_mean","perf/draft/input_length","perf/draft/input_length_mean","perf/draft/input_ratio","perf/draft/input_ratio_mean","perf/draft/mem_gb_after/generate","perf/draft/mem_gb_before/generate","perf/draft/output_length","perf/draft/output_length_mean","perf/draft/time/generate","perf/target/compressed_input_size","perf/target/compressed_input_size_mean","perf/target/full_input_size","perf/target/full_input_size_mean","perf/target/input_length","perf/target/input_length_mean","perf/target/input_ratio","perf/target/input_ratio_mean","perf/target/mem_gb_after/generate","perf/target/mem_gb_before/generate","perf/target/output_length","perf/target/output_length_mean","perf/target/time/generate","target_input_ratio","target_nulls","target_score","target_score_all"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00779","finished","-","","","2025-04-21T11:17:05.000Z","218","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00779.yaml","longbench","50","","trec","6","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","","","","0.00018408511879044673","","60","1","1","1","11033","6801.04","11033","6801.04","0.00009063717937097796","0.00018408511879044673","18.311304092407227","17.298054218292236","64","64","1.0754446983337402","11033","6801.04","11033","6801.04","11033","6801.04","1","1","18.574507236480713","17.267565727233887","64","64","4.029291868209839","1","","66","1"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00785","finished","-","","","2025-04-20T21:12:44.000Z","254","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00785.yaml","longbench","50","","repobench-p","","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","","","","0.0001422102178068484","","38.66","0.96","1","1","4310","10103.5","4310","10103.5","0.0002320185614849188","0.0001422102178068484","17.693775177001953","17.29802370071411","64","64","0.8735554218292236","4310","10103.5","4310","10103.5","4310","10103.5","1","1","17.829899787902832","17.26755428314209","64","64","2.852802038192749","1","","51.8","0.98"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00784","finished","-","","","2025-04-20T21:09:44.000Z","178","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00784.yaml","longbench","50","","lcc","","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","","","","0.00042586482577622","","27.62","0.47","1","1","2761","3038.62","2761","3038.62","0.0003621876131836291","0.00042586482577622","17.551668643951416","17.29797649383545","64","64","0.811511754989624","2761","3038.62","2761","3038.62","2761","3038.62","1","1","17.655768871307373","17.267468452453613","64","63.32","2.5948715209960938","1","","46.1","0.19"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00783","finished","-","","","2025-04-20T21:07:15.000Z","148","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00783.yaml","longbench","50","","passage_retrieval_en","","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","","","","0.0000804742779338311","","2","0","1","1","13959","12562.02","13959","12562.02","0.00007163836951070993","0.0000804742779338311","18.551283359527588","17.269551277160645","4","4","0.5032470226287842","13959","12562.02","13959","12562.02","13959","12562.02","1","1","18.90029811859131","17.26769781112671","4","4.56","2.5716211795806885","1","","96","1"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00782","finished","-","","","2025-04-20T21:04:14.000Z","180","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00782.yaml","longbench","50","","passage_count","","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","","","","0.00007521057139330047","","2","0","1","1","12396","15009.7","12396","15009.7","0.00008067118425298483","0.00007521057139330047","18.41174030303955","17.27280855178833","11","10.84","0.5243535041809082","12396","15009.7","12396","15009.7","12396","15009.7","1","1","18.728698253631592","17.267683506011963","2","4.68","2.2448434829711914","1","","5","0"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00781","finished","-","","","2025-04-20T20:58:21.000Z","352","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00781.yaml","longbench","50","","samsum","","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","","","","0.00014226922599909166","","38.28","0.3396226366536135","1","1","12846","10056.66","12846","10056.66","0.00007784524365561264","0.00014226922599909166","18.45751905441284","17.277984619140625","56","53.84","1.0642449855804443","12846","10056.66","12846","10056.66","12846","10056.66","1","1","18.775002479553223","17.26753568649292","128","128","6.388704538345337","1","","34.4","0.4230769181952662"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00780","finished","-","","","2025-04-20T20:54:56.000Z","203","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00780.yaml","longbench","50","","triviaqa","","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","","","","0.00012180517758519905","","79.6","1","1","1","4181","12284.98","4181","12284.98","0.0002391772303276728","0.00012180517758519905","17.666597843170166","17.28269100189209","4","29.22","0.15959429740905762","4181","12284.98","4181","12284.98","4181","12284.98","1","1","17.800310611724854","17.26744508743286","32","32","1.7665908336639404","1","","93.27","1"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00778","finished","-","","","2025-04-20T20:46:14.000Z","520","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00778.yaml","longbench","50","","multi_news","","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","","","","0.00018408511879044673","","60","0.2540540490717313","1","1","1601","2504.28","1601","2504.28","0.0006246096189881324","0.0006321882642126078","17.988513946533203","17.438910961151123","507","415.58","5.944576263427734","11033","6801.04","11033","6801.04","11033","6801.04","1","1","18.574507236480713","17.267565727233887","64","64","4.004108190536499","1","","66","1"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00777","finished","-","","","2025-04-20T20:39:58.000Z","375","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00777.yaml","longbench","50","","qmsum","","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","","","","0.00009005479115299472","","21.83","0.2741935433883975","1","1","13081","13221.46","13081","13221.46","0.00007644675483525724","0.00009005479115299472","18.50412130355835","17.30244255065918","106","96.5","1.661238431930542","13081","13221.46","13081","13221.46","13081","13221.46","1","1","18.827192783355713","17.26775026321411","168","99.86","7.838173866271973","1","","23.56","0.26470587740592566"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00776","finished","-","","","2025-04-20T20:21:36.000Z","1101","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_smallgrid/longbench/sparse_prefill_snapkv/00776.yaml","longbench","50","","gov_report","","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","","","","","0.000124254791287188","","30.01","0.28927680313679643","1","1","6476","11507.48","6476","11507.48","0.00015441630636195183","0.000124254791287188","18.11673259735107","17.41414737701416","512","412.96","6.232153415679932","6476","11507.48","6476","11507.48","6476","11507.48","1","1","18.92050266265869","17.26771640777588","408","422.9","14.747329473495483","1","","28.62","0.3298429272147146"
