"Name","State","Notes","User","Tags","Created","Runtime","Sweep","cfg_file","dataset.dataset_name","dataset.num_samples","dataset.seq_len","dataset.task","device","draft_model.attn_implementation","draft_model.dtype","draft_model.model_name_or_path","target_model.attn_implementation","target_model.dtype","target_model.model_name_or_path","target_sparse_config.kernel_size","target_sparse_config.max_capacity_prompt","target_sparse_config.query_aggregation","target_sparse_config.sparse_type","target_sparse_config.window_size","draft_model.num_eval_tokens","target_sparse_config.num_vertical","target_sparse_config.pooling","target_sparse_config.prefill_window_size","draft_input_ratio","draft_nulls","draft_score","draft_score_all","perf/draft/compressed_input_size","perf/draft/compressed_input_size_mean","perf/draft/full_input_size","perf/draft/full_input_size_mean","perf/draft/input_length","perf/draft/input_length_mean","perf/draft/input_ratio","perf/draft/input_ratio_mean","perf/draft/mem_gb_after/generate","perf/draft/mem_gb_before/generate","perf/draft/output_length","perf/draft/output_length_mean","perf/draft/time/generate","perf/target/compressed_input_size","perf/target/compressed_input_size_mean","perf/target/full_input_size","perf/target/full_input_size_mean","perf/target/input_length","perf/target/input_length_mean","perf/target/input_ratio","perf/target/input_ratio_mean","perf/target/mem_gb_after/generate","perf/target/mem_gb_before/generate","perf/target/output_length","perf/target/output_length_mean","perf/target/time/generate","target_input_ratio","target_nulls","target_score","target_score_all"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00054","finished","-","","","2025-04-22T10:49:37.000Z","879","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00054.yaml","longbench","50","","gov_report","0","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.00012085759557213372","","12.51","0.0814814792801098","1","1","6672","11916.6","6672","11916.6","0.00014988009592326138","0.00012085759557213372","28.805091381073","28.50050687789917","64","64","0.6046731472015381","6672","11916.6","6672","11916.6","6672","11916.6","1","1","29.363463878631592","28.46439838409424","342","378.76","9.31898045539856","1","","26.24","0.25304135764055397"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00038","finished","-","","","2025-04-22T10:19:31.000Z","863","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00038.yaml","longbench","50","","gov_report","0","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.00012085759557213372","","12.51","0.0814814792801098","1","1","6672","11916.6","6672","11916.6","0.00014988009592326138","0.00012085759557213372","28.805091381073","28.50050687789917","64","64","0.6080574989318848","6672","11916.6","6672","11916.6","6672","11916.6","1","1","29.3125581741333","28.464398860931396","181","373.48","5.310420989990234","1","","24.74","0.18343194844858385"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00022","finished","-","","","2025-04-22T09:58:05.000Z","641","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00022.yaml","longbench","50","","gov_report","0","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.000124254791287188","","15.9","0.1672727248386116","1","1","6476","11507.48","6476","11507.48","0.00015441630636195183","0.000124254791287188","17.91661500930786","17.32135772705078","64","64","0.4641761779785156","6476","11507.48","6476","11507.48","6476","11507.48","1","1","18.106157779693604","17.290894031524658","441","443.1","55.353230476379395","1","","26.83","0.2959427158437239"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00004","finished","-","","","2025-04-22T09:38:50.000Z","599","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00004.yaml","longbench","50","","2wikimqa","2","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","256","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.000124254791287188","","15.9","1","1","1","5149","7644.82","5149","7644.82","0.0001942124684404739","0.00017596448118699045","17.766537189483643","17.29313611984253","9","6.74","0.10367107391357422","6476","11507.48","6476","11507.48","6476","11507.48","1","1","18.071579933166504","17.2908935546875","497","422.34","7.900451183319092","1","","23.91","0.2857142808163266"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00006","finished","-","","","2025-04-22T13:06:35.000Z","569","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00006.yaml","longbench","50","","gov_report","3","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","256","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.000124254791287188","","15.9","0.1672727248386116","1","1","6476","11507.48","6476","11507.48","0.00015441630636195183","0.000124254791287188","2.9592432975769043","2.363825798034668","64","64","0.4508335590362549","6476","11507.48","6476","11507.48","6476","11507.48","1","1","18.071579933166504","17.2908935546875","497","422.34","7.830448865890503","1","","23.91","0.2857142808163266"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00059","finished","-","","","2025-04-22T10:56:53.000Z","403","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00059.yaml","longbench","50","","samsum","1","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.0001418038641578644","","36.86","0.3333333285802469","1","1","12878","10090.26","12878","10090.26","0.00007765180928715639","0.0001418038641578644","29.086462020874023","28.499171257019043","64","64","0.6452157497406006","12878","10090.26","12878","10090.26","12878","10090.26","1","1","30.071595191955566","28.462998867034912","128","128","43.391608476638794","1","","29.29","0.6363636313636364"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00043","finished","-","","","2025-04-22T10:33:58.000Z","373","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00043.yaml","longbench","50","","samsum","0","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.0001418038641578644","","36.86","0.3333333285802469","1","1","12878","10090.26","12878","10090.26","0.00007765180928715639","0.0001418038641578644","29.087339401245117","28.500514030456543","64","64","0.6621885299682617","12878","10090.26","12878","10090.26","12878","10090.26","1","1","30.023113250732425","28.464341640472412","128","128","4.6093831062316895","1","","25.82","0.15789473196675916"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00042","finished","-","","","2025-04-22T10:32:04.000Z","362","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00042.yaml","longbench","50","","triviaqa","2","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","256","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.00007336906547958129","","0","1","1","1","4468","12729.32","4468","12729.32","0.00022381378692927484","0.0001176399766437281","28.677407264709473","28.47242116928101","64","58.92","0.6379055976867676","12689","15373.04","12689","15373.04","12689","15373.04","1","1","29.990327835083008","28.463627815246586","30","27.48","2.3028764724731445","1","","4.33","0"
"draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00026","finished","-","","","2025-04-22T10:06:18.000Z","341","","cfg/draft1_target1/Llama-3.1-8B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00026.yaml","longbench","50","","triviaqa","2","flash_attention_2","bfloat16","meta-llama/Llama-3.2-1B-Instruct","flash_attention_2","bfloat16","meta-llama/Llama-3.1-8B-Instruct","5","512","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.00014226922599909166","","39.45","1","1","1","4181","12284.98","4181","12284.98","0.0002391772303276728","0.00012180517758519905","17.70520257949829","17.321295738220215","4","58.02","0.06211304664611816","12846","10056.66","12846","10056.66","12846","10056.66","1","1","18.798813819885257","17.290846824645996","128","128","2.689552068710327","1","","35.3","0.3921568578392926"
"draft1_target1/Qwen2.5-14B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00058","finished","-","","","2025-04-22T10:55:39.000Z","340","","cfg/draft1_target1/Qwen2.5-14B-Instruct/ethan/ethan_longbench1/longbench/sparse_prefill_snapkv/00058.yaml","longbench","50","","triviaqa","3","flash_attention_2","bfloat16","Qwen/Qwen2.5-0.5B-Instruct","flash_attention_2","bfloat16","Qwen/Qwen2.5-14B-Instruct","5","512","max","sparse_prefill_snapkv","32","64","2048","max","2048","0.00007802922726522599","","2","1","1","1","4468","12729.32","4468","12729.32","0.00022381378692927484","0.0001176399766437281","1.1644067764282229","0.9605965614318848","64","58.92","0.6113314628601074","14541","12962.06","14541","12962.06","14541","12962.06","1","1","30.254770755767822","28.463908195495605","32","20.88","2.530088186264038","1","","92","1"
